killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,,"Killer x,y coordinate",,,AKM,AWM,CROSSBOW,GRENADE,GROZA,KAR98,M16A4,M24,M249,M416,MicroUZI,Mini14,P18C,P1911,P92,R1895,S12K,S1897,S686,SCAR-L,SKS,Tommy Gun,UMP9,Vector,VSS,Win94,ERANGEL,MIRANMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKM,G_Berg,7,460416.7,414748.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1422,cornsour,16,459817.9,414426.3,,460416.7414748.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,JoyFeng-,3,362936.8,434318.4,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,553,Games_414_TQ1,,362179.2,436248.2,,362936.8434318.4,,,,,,,,,,,,,,,,,,,Falling,,,,,ERANGEL,2U4GBNA0YmnXxPYMxq8uh3IZ_R74uPmFVfhHlxf6M3-PzRx-7ICrxPIahHemHE6H,280,tongbaba350,39,703116.5,333846.6,,,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1326,huan769452,18,385709.2,469951.1,,
AKM,Lukesnake17,20,488034.1,347220.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1210,Homebrw,9,487444.2,347651,,488034.1347220.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,FantasticBoys,2,524989.9,346106.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1201,TONGLIANGZHI,10,525671.5,345720.4,,524989.9346106.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1767,lXlFan,2,162292.2,513805.1,,
AKM,SinisterJake,17,608792,479479.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,405,hunter8888,32,608422.8,478874.8,,6.09E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,SAOZISHUIZHENDUO,1,473679.1,353759.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,565,LittleMoustache,20,471807.5,356858.3,,473679.1353759.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluezone,Axin_1123,4,158506.8,528566.3,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1633,TANkISTSEREGA111,5,153188.2,538142.8,,158506.8528566.3
AKM,XxSWAGFISHxX,16,459874.5,415081.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1359,SinisterJake,17,454229.3,425443.1,,459874.5415081.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,jinze,26,368875.8,417772.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,361,Alexande-999,25,366831.8,416067.8,,368875.8417772.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1769,JK911323,3,186551.2,508124.9,,
AKM,SinisterJake,17,549784.7,455996.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,794,ALEKSERZ,25,548009.1,455568.8,,549784.7455996.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,LowGe,3,371343.4,424315.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,134,Jingchita,40,371384,423285.3,,371343.4424315.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1650,YowyyCpone,2,165597.2,539061.9,,
AKM,drphildidurmom,3,467323.7,369631.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1100,Extazy_,21,469079.2,369980,,467323.7369631.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,,,,,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,879,WOJIAOLIGUAPI,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluezone,YowyyCpone,2,164994.2,540431.6,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1618,zhangyang2000,4,150262.2,527447.7,,164994.2540431.6
AKM,drphildidurmom,3,491049.8,423913.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1707,berty69,7,486227.1,422630.3,,491049.8423913.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,Summertime333,10,433042.9,549550.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,232,zhuyi1993,29,433620.3,549917.4,,433042.9549550.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1760,Axin_1123,4,173455,526853.1,,
AKM,DevilBlood35,1,550328.1,593490.4,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,463,Small_Shaq,31,552685.8,589054.6,,550328.1593490.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,NoParkingHere,30,364521.4,424906.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,167,Unity_Yi,36,362560.2,426152.6,,364521.4424906.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmmLlZbT02zMNt2JlWQ2eYFKRG02TGemIK1RM2eWZoZ5_MZmkLiA6Xuu,1490,ChouNiZaDi233,9,327086.9,382422.1,,
AKM,Relugar,22,574787.9,381992.4,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,184,peisinidimaye,25,573797.7,382727.6,,574787.9381992.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,Corleone_Wu,1,470438.2,363857.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,368,Facktk,24,467847.4,363854.5,,470438.2363857.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmmLlZbT02zMNt2JlWQ2eYFKRG02TGemIK1RM2eWZoZ5_MZmkLiA6Xuu,1648,NekoVanilla886,6,366513,325295.3,,
AKM,SinisterJake,17,607308.2,476229.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,447,Onepc006,32,607243.6,476312.8,,607308.2476229.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,651651646,1,393598.3,289132.6,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,235,NewStar_zsp,27,346469.4,273841.8,,393598.3289132.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmmLlZbT02zMNt2JlWQ2eYFKRG02TGemIK1RM2eWZoZ5_MZmkLiA6Xuu,1489,Gilles-de-KING,9,327552,382895.5,,
